content,start,end,wikiLink,link
31st Government,"2017, 06, 14","2018, 09, 01",,http://www.irishstatutebook.ie/......
30th Government,"2016, 05, 06","2017, 06, 14",https://en.wikipedia.org/wiki/2016_Irish_government_formation,
Caretaker Gvt,"2016, 03, 10","2016, 05, 06",https://en.wikipedia.org/wiki/2016_Irish_government_formation,
29th Government,"2011, 3, 09","2016, 03, 10",https://en.wikipedia.org/wiki/Government_of_the_31st_D%C3%A1il#29th_Government_of_Ireland,
28th Government,"2008, 05, 07","2011, 3, 09",,
27th Government,"2007, 06, 14","2008, 05, 07",,
26th Government,"2002, 06, 06","2007, 06, 14",,
25th Government,"1997, 06, 26","2002, 06, 06",,
24th Government,"1994, 12, 15","1997, 06, 26",,
